Name,Created,Tags
Estatística Descritiva,"April 20, 2022 2:12 PM",P1
Probabilidade,"May 7, 2022 5:31 PM",P1
Variáveis Discretas Aleatórias,"May 8, 2022 5:11 PM",P1
Variáveis Aleatórias Contínuas,"June 13, 2022 3:22 PM",P2
Distribuição Amostral e Teorema Central do Limite,"July 10, 2022 1:54 PM",P2
Inferência - Uma População: Intervalo de Confiança,"July 11, 2022 3:49 PM",P2
Inferência - Uma População: Teste de Hipótese,"July 11, 2022 5:50 PM",P2
Inferência - Duas Populações: Intervalo de Confiança,"July 12, 2022 2:35 PM",P2
Inferência - Duas Populações: Teste de Hipótese,"July 12, 2022 3:54 PM",P2
